"level_id","observation_num","start_years","time_list","id_list","n_reps","bias_xsum_2lpmm","bias_xsum_pmm"
1,100,2000,"Norm","Exp",1000,-2.12521998607517,-2.62725321413774
2,100,2000,"Pois","Exp",1000,-1.73705702837069,-1.7407653109854
3,100,2000,"Uni","Exp",1000,-2.3200358885027,-0.400302467134988
4,100,2000,"Norm","Pois",1000,-2.26649145716345,-2.71504815565852
5,100,2000,"Pois","Pois",1000,-3.36205455306352,-2.41125782194779
6,100,2000,"Uni","Pois",1000,-4.95153233638374,-1.83887541086445
7,100,2000,"Norm","Gam",1000,-2.36097833279822,-2.58600125937034
8,100,2000,"Pois","Gam",1000,-3.50735484702327,-2.18403239283954
9,100,2000,"Uni","Gam",1000,-5.08465367279628,-1.7562956497123
